,hospital_only,hglm,nn
0,-1.8785288,-2.7518826,-1.8478866
1,-1.8653257,-2.521203,-1.6711776
2,-1.8512102,-2.359996,-1.6748788
3,-2.1783247,-2.907338,-1.914995
4,-2.0582533,-2.8657622,-1.911794
5,-1.8472531,-2.5928113,-1.7655083
6,-2.054241,-2.9225821,-1.8985682
7,-2.1138666,-2.7401552,-1.8287524
8,-1.784198,-2.7152607,-1.8014703
9,-1.4926648,-2.2355871,-1.6136128
10,-2.4174542,-2.858324,-1.8265908
11,-1.999766,-2.6595333,-1.8540878
12,-1.7995498,-2.6754134,-1.7731397
13,-1.8129696,-2.6923964,-1.8506824
14,-2.010174,-2.8322754,-1.8795772
15,-1.8368909,-2.4386852,-1.6615481
16,-2.0968041,-2.8538198,-1.8579141
17,-1.632785,-2.4672344,-1.632088
18,-1.9393293,-2.6122868,-1.8409992
19,-2.0274448,-2.7123563,-1.8431071
20,-1.9386123,-2.7069337,-1.8913624
21,-2.0140812,-2.7547488,-1.8427771
22,-2.0079052,-2.7885973,-1.9274338
23,-1.8351104,-2.6911793,-1.8537153
24,-2.0394192,-2.7838857,-1.8920867
25,-1.8579187,-2.5453172,-1.7522069
26,-2.0563068,-3.0105584,-2.113324
27,-1.9991974,-2.6092541,-1.8220409
28,-1.864713,-2.666766,-1.8293365
29,-1.4631984,-2.0539045,-1.4392631
30,-1.7298782,-2.5292177,-1.7245257
31,-2.0365684,-2.6895373,-1.8008147
32,-2.176687,-2.8127933,-1.8605798
33,-2.0234618,-2.7337275,-1.8394316
34,-2.1656399,-3.0720034,-1.9440496
35,-1.6906624,-2.2207398,-1.4520845
36,-1.7775232,-2.6381598,-1.8077757
37,-2.117566,-2.8652453,-2.0255234
38,-1.9160347,-2.6265829,-1.8095304
39,-2.06971,-2.9188678,-1.9860346
40,-2.0799992,-2.7428029,-1.9027863
41,-1.8488113,-2.3412755,-1.6385132
42,-1.965128,-2.7217572,-1.8615521
43,-1.8704827,-2.5239666,-1.7364483
44,-1.9925299,-2.7115996,-1.8294773
45,-1.8420436,-2.5508494,-1.7567627
46,-1.7665563,-2.5411053,-1.7755449
47,-1.8348566,-2.5639467,-1.7765622
48,-1.8927913,-2.700424,-1.8015172
49,-2.135107,-3.0928771,-2.0201669
50,-2.073588,-2.651422,-1.809127
51,-1.9521486,-2.474176,-1.7254076
52,-2.1605723,-2.8354185,-1.8959138
53,-2.00976,-2.8326275,-1.8611693
54,-1.8805579,-2.6847923,-1.8067707
55,-1.834811,-2.5619168,-1.7534506
56,-2.0367436,-2.8793929,-1.8995554
57,-1.8823057,-2.7584035,-1.8357214
58,-1.6550026,-2.5904915,-1.8045223
59,-1.8841559,-2.6006572,-1.8016909
60,-2.0930774,-2.9144483,-2.015989
61,-1.9316826,-2.8518004,-1.9284486
62,-1.9831309,-2.7041152,-1.8281783
63,-2.0576108,-2.891874,-2.0193498
64,-1.8612658,-2.4753516,-1.7915198
65,-2.1069674,-2.6411362,-1.8207299
66,-1.7635386,-2.3193703,-1.6686796
67,-2.1072497,-2.9071512,-1.9892836
68,-2.1845722,-3.0838969,-1.844503
69,-1.9724884,-2.8128598,-1.8516526
70,-1.8456149,-2.3526964,-1.6566988
71,-1.6806586,-2.4224079,-1.6732332
72,-2.2080643,-2.7755158,-1.8785803
73,-2.0516355,-2.7446454,-1.8740436
74,-1.9022629,-2.6919053,-1.8074708
75,-2.0260956,-2.8592546,-1.9671919
76,-1.9806204,-2.5410447,-1.7397078
77,-1.9361788,-2.7448115,-1.9223132
78,-1.7200725,-2.4320786,-1.6919916
79,-2.0051239,-2.6333134,-1.8326039
80,-1.8634475,-2.3933232,-1.5751001
81,-1.7878593,-2.5066748,-1.7382631
82,-2.0408332,-2.7708266,-1.9279071
83,-1.9185904,-2.5087607,-1.777903
84,-2.0787754,-2.7930932,-1.9132172
85,-1.6123109,-2.5338593,-1.806564
86,-1.6818763,-2.6952505,-1.8268465
87,-2.00436,-2.8426409,-1.892017
88,-1.8366663,-2.1944344,-1.6363915
89,-1.9188911,-2.508976,-1.7715924
90,-1.888093,-2.5642366,-1.8736166
91,-1.953515,-2.5102568,-1.7132297
92,-1.7049732,-2.4053776,-1.6513269
93,-1.9624764,-2.7501476,-1.8638576
94,-1.9960277,-2.7996705,-1.9065256
95,-1.8659936,-2.7625997,-1.8666842
96,-2.19459,-2.6743846,-1.811877
97,-2.193613,-2.8365004,-1.8316549
98,-2.1264198,-2.6502395,-1.7811615
99,-1.8682778,-2.8586965,-1.9133953
100,-2.004189,-2.8253288,-1.8921483
101,-1.785838,-2.353859,-1.6730332
102,-1.736065,-2.4203963,-1.6501313
103,-1.975406,-2.5901492,-1.8387618
104,-1.6276203,-2.5603616,-1.7911235
105,-1.9206392,-2.8257153,-1.8956383
106,-2.2882664,-3.0244164,-2.0346143
107,-1.9393461,-2.7472036,-1.8567085
108,-2.147571,-2.69912,-1.8769531
109,-2.0271978,-2.8716044,-1.8926492
110,-2.0056043,-2.789801,-1.8661352
111,-1.9999796,-2.8023071,-1.8576994
112,-1.744398,-2.5116696,-1.6675532
113,-2.0005956,-2.7536514,-1.8527062
114,-2.4023848,-3.1460872,-1.861097
115,-2.1524777,-3.088582,-2.051673
116,-1.7683742,-2.5680366,-1.79786
117,-1.6740922,-2.3741086,-1.5854523
118,-1.9149952,-2.527875,-1.7866174
119,-1.8807217,-2.7286055,-1.8485856
120,-1.9487656,-2.5959697,-1.7450973
121,-2.0174212,-2.828419,-1.8753114
122,-1.6644963,-2.386542,-1.5701845
123,-2.1545587,-2.8378315,-1.936512
124,-1.758585,-2.5869384,-1.7258892
125,-2.0147684,-2.872702,-1.8631612
126,-1.882314,-2.4845822,-1.7199489
127,-1.944936,-2.7371933,-1.851721
128,-1.9113963,-2.028994,-1.3955134
129,-2.0175178,-2.8162918,-1.9648811
130,-1.9222034,-2.7318702,-1.8527886
131,-2.1024833,-3.0119758,-1.9384592
132,-2.0186505,-2.7134826,-1.8240154
133,-1.8145359,-2.4672756,-1.7405492
134,-2.1290922,-2.7943065,-1.9515911
135,-1.8533881,-2.594671,-1.772622
136,-1.8018755,-2.5657582,-1.7446872
137,-1.9927908,-2.7926915,-1.886161
138,-1.8013524,-2.5229657,-1.7288892
139,-2.0666566,-2.7555282,-1.8479167
140,-2.0934863,-2.7875824,-1.923641
141,-2.0942986,-2.75919,-1.881957
142,-2.0125268,-2.640578,-1.7996503
143,-2.0108962,-2.9224262,-1.9192468
144,-2.1385825,-2.6352577,-1.8156719
145,-1.7949088,-2.5213444,-1.7785114
146,-1.9387605,-2.6424844,-1.823998
147,-1.7709103,-2.574313,-1.7807517
148,-1.8801264,-2.5804358,-1.8084159
149,-1.8646681,-2.6492383,-1.7374516
150,-1.75711,-2.6040857,-1.7770412
151,-2.0643795,-2.9733171,-1.9320259
152,-2.1303358,-2.964294,-1.9153353
153,-1.9793159,-2.685461,-1.8419867
154,-2.073998,-2.8266509,-1.9201033
155,-1.985478,-2.5532887,-1.8059711
156,-1.5718272,-2.4922593,-1.6709082
157,-2.0034559,-2.755274,-1.8939538
158,-2.0831263,-2.978259,-2.0034597
159,-2.0672174,-2.7733839,-1.9427495
160,-1.8218279,-2.5390606,-1.7118351
161,-2.1065779,-2.66201,-1.8396604
162,-1.9678582,-2.6241474,-1.8240733
163,-1.86255,-2.7437017,-1.86854
164,-2.0572968,-2.84009,-1.8756512
165,-2.1036947,-2.7980895,-1.9207494
166,-2.0791636,-3.0530512,-2.0133615
167,-1.8755162,-2.6015253,-1.7805778
168,-1.9895561,-2.6234267,-1.8067747
169,-2.0313745,-2.9383762,-1.8765302
170,-2.0580251,-2.754025,-1.8640982
171,-1.8579707,-2.4778855,-1.717717
172,-1.8968716,-2.835209,-1.9092757
173,-1.7101121,-2.55737,-1.7126746
174,-1.9215685,-2.7275805,-1.9082063
175,-1.9334877,-2.4467165,-1.767274
176,-2.0022345,-2.7975981,-1.9034247
177,-1.999235,-2.8147147,-1.9595926
178,-2.0264964,-2.9992356,-1.8839271
179,-1.7759228,-2.6058116,-1.8117468
180,-1.5705752,-2.3310566,-1.7902123
181,-2.0448785,-2.9972882,-1.9307141
182,-1.8021499,-2.2769322,-1.6372393
183,-1.9039816,-2.4080384,-1.5765342
184,-1.9703062,-2.7923114,-1.8787913
185,-1.9830679,-2.664665,-1.8231108
186,-2.0934215,-2.9140737,-1.9198413
187,-1.7931172,-2.5660884,-1.7963246
188,-2.0873148,-2.8626275,-1.941621
189,-1.8772811,-2.3595662,-1.7465715
190,-2.1168556,-2.885484,-2.0037498
191,-1.8734888,-2.5457578,-1.7760172
192,-1.8676639,-2.6699734,-1.8395964
193,-2.0243986,-3.0202842,-1.8943069
194,-2.0426009,-2.7021017,-1.8648458
195,-1.8247637,-2.5814753,-1.8343936
196,-1.6716324,-2.4742725,-1.7517805
197,-2.0604634,-2.7583826,-1.8892963
198,-2.158195,-2.7611785,-1.8827161
199,-1.7929071,-2.5689933,-1.6992468
200,-2.0930402,-2.9377444,-1.9886734
201,-1.9829121,-2.8774278,-1.879021
202,-2.016514,-2.7590942,-1.8678485
203,-1.6054997,-2.437585,-1.6147233
204,-1.9367752,-2.6395438,-1.8327097
205,-2.0190747,-2.8366683,-1.8733319
206,-1.7058709,-2.4049835,-1.6336231
207,-2.0236452,-2.915715,-1.8968779
208,-2.0111685,-2.6642904,-1.803637
209,-1.9832598,-2.8413923,-1.9648414
210,-1.9839346,-2.6452186,-1.7853029
211,-1.9950284,-2.671229,-1.8078281
212,-1.9807097,-2.9896512,-1.8825989
213,-1.9402175,-2.7609036,-1.8832414
214,-1.9978756,-2.6857944,-1.850827
215,-1.9782201,-2.8046956,-1.9949734
216,-1.8194995,-2.706839,-1.82017
217,-1.8825959,-2.7005575,-1.8357272
218,-2.1719313,-2.9709032,-2.0096655
219,-2.0330904,-2.6676552,-1.8305917
220,-1.9035593,-2.6456916,-1.8401822
221,-1.8729546,-2.6580787,-1.8400934
222,-2.641282,-2.9348013,-1.9233521
223,-2.0253792,-2.5581496,-1.7695677
224,-1.9285358,-2.4421983,-1.7731017
225,-1.9329582,-2.5630698,-1.7893958
226,-2.0492003,-2.8089757,-1.8651146
227,-1.8407995,-2.451425,-1.749797
228,-1.927138,-2.5191233,-1.8135263
229,-1.7764198,-2.5997856,-1.7968638
230,-1.6185122,-2.479428,-1.6083188
231,-1.9189762,-2.6868985,-1.8469396
232,-1.985014,-2.766862,-1.8732651
233,-1.9815106,-2.6109042,-1.8254119
234,-1.9719633,-2.7177613,-1.8474612
235,-1.9261516,-2.6980433,-1.8345494
236,-1.9936262,-2.7075815,-1.8429948
237,-1.928398,-2.8429873,-1.903135
238,-1.8463289,-2.644756,-1.77029
239,-1.8460327,-2.484257,-1.7624911
240,-1.8452494,-2.571643,-1.7314562
241,-1.8914232,-2.6474462,-1.7721928
242,-2.0238628,-2.5791736,-1.7669284
243,-1.9016691,-2.799417,-1.9063007
244,-1.6500335,-2.137319,-1.6056638
245,-2.062522,-2.866457,-1.9495822
246,-1.9598653,-2.6452076,-1.8297776
247,-1.8790396,-2.412545,-1.7641224
248,-1.5617805,-2.3775125,-1.771322
249,-1.8766769,-2.4697824,-1.7897784
250,-1.6318158,-2.6815224,-1.8057109
251,-1.8968968,-2.6254857,-1.7925156
252,-1.7670733,-2.4716728,-1.7054509
253,-2.1930578,-2.9917293,-2.0432255
254,-1.5828131,-2.277267,-1.5270973
255,-2.0164757,-2.7886596,-1.8816389
256,-1.9176259,-2.369549,-1.7329407
257,-2.1944892,-2.8723779,-1.9888735
258,-2.1444998,-3.1008232,-2.1195345
259,-2.280706,-2.9340608,-1.9766148
260,-1.7357086,-2.457505,-1.6851574
261,-1.9426345,-2.7957413,-1.8847587
262,-2.082383,-2.9633462,-1.8961811
263,-1.8569757,-2.6482525,-1.7350862
264,-2.0108285,-2.9792132,-1.887028
265,-2.0123215,-2.9583578,-1.9404727
266,-1.8721738,-2.5193028,-1.7098649
267,-1.9985899,-2.7085776,-1.8851901
268,-1.717268,-2.3212733,-1.568263
269,-1.9372126,-2.675868,-1.8731592
270,-1.8214207,-2.8254702,-1.9003048
271,-2.1161811,-3.0740778,-1.9882269
272,-2.0787902,-2.780447,-1.864046
273,-1.7991002,-2.117935,-1.5815903
274,-1.9136283,-2.5681713,-1.7848934
275,-1.6994302,-2.5672526,-1.7473888
276,-1.8949854,-2.492301,-1.7817256
277,-1.7484256,-2.5037153,-1.7160237
278,-1.8529551,-2.687754,-1.867039
279,-1.8772328,-1.9861674,-1.6546538
280,-1.9075547,-2.672938,-1.8445414
281,-1.7460421,-2.4042633,-1.6472157
282,-1.9732847,-2.726811,-1.8342432
283,-1.8270015,-2.6978135,-1.8402777
284,-1.8702506,-2.4208562,-1.5833379
285,-2.017353,-2.8050716,-1.9289683
286,-2.1114364,-2.7804925,-1.8834119
287,-1.9583902,-2.5959005,-1.8305322
288,-1.6790293,-2.3242962,-1.636647
289,-1.9876912,-2.827729,-1.9117799
290,-2.1225975,-2.9439,-1.9068183
291,-2.171872,-2.8755813,-1.8717413
292,-1.6750649,-2.345148,-1.6386946
293,-2.1226947,-2.8456829,-1.8742204
294,-1.9404418,-2.6802886,-1.8278426
295,-1.7881566,-2.4635606,-1.685823
296,-2.146664,-2.8920512,-1.8980564
297,-1.9861357,-2.6242282,-1.7570854
298,-1.6233406,-2.4393024,-1.6355397
299,-1.8786988,-2.7062733,-1.8539112
300,-2.0158565,-3.047761,-1.9530799
301,-1.6022177,-2.4147153,-1.6298871
302,-2.0864863,-2.9264846,-1.9535079
303,-1.7392967,-2.3705885,-1.5685022
304,-1.9479887,-2.4696174,-1.7374896
305,-2.2652388,-3.0787368,-1.850713
306,-1.7847998,-2.5088806,-1.7562586
307,-2.0607035,-2.911941,-1.8931719
308,-2.188032,-2.9034622,-1.8399408
309,-2.0061014,-2.8967648,-1.8685312
310,-1.9787056,-2.643855,-1.8411845
311,-2.0359313,-2.7255995,-1.889314
312,-1.7057121,-2.3871446,-1.6421628
313,-2.1608546,-3.1130178,-1.9713736
314,-2.0006657,-2.8581645,-1.930932
315,-2.0815396,-2.8281035,-1.8899871
316,-1.9027755,-2.6288087,-1.8357182
317,-1.6184982,-2.5207698,-1.8954418
318,-1.6475312,-2.4412403,-1.7199193
319,-2.1656964,-2.8776276,-2.018012
320,-1.8564098,-2.5734808,-1.699259
321,-1.8180361,-2.585622,-1.777842
322,-1.897505,-2.6570196,-1.8243533
323,-1.8231752,-2.4331064,-1.7291607
324,-1.7333865,-2.4446733,-1.7620416
325,-2.1951382,-3.176252,-2.0538623
326,-1.8819114,-2.5860279,-1.7907041
327,-1.883583,-2.649715,-1.7535282
328,-1.9956188,-2.3596501,-1.6807917
329,-1.9906299,-2.8921027,-1.9232758
330,-2.1405118,-2.81109,-1.9479716
331,-1.7288499,-2.548404,-1.801267
332,-2.0219996,-2.7655563,-1.8883774
333,-2.0572703,-2.6894689,-1.8357515
334,-2.153845,-3.1677756,-1.9742856
335,-2.0745528,-2.472377,-1.6700225
336,-1.7272635,-2.4004712,-1.6262436
337,-1.9343823,-2.7881122,-1.8760023
338,-1.9101362,-2.6707919,-1.8420595
339,-1.9886758,-2.7547648,-1.8815191
340,-1.8336749,-2.4517221,-1.7622356
341,-1.5568495,-2.170567,-1.5332408
342,-1.9151542,-2.8614268,-1.9536939
343,-1.8443455,-2.5382023,-1.8004847
344,-1.8177762,-2.3466494,-1.7241513
345,-1.7809665,-2.257898,-1.6609161
346,-2.2318268,-2.9318378,-1.9438841
347,-1.9687681,-2.58745,-1.8230381
348,-1.7384545,-2.450639,-1.7217722
349,-1.9579655,-2.587003,-1.743125
350,-1.9955744,-2.9032779,-1.875242
351,-1.8932518,-2.665003,-1.7823066
352,-1.9976919,-2.6277776,-1.828759
353,-2.3297849,-3.1725333,-1.9488785
354,-2.0647252,-2.7689815,-1.866518
355,-1.8787163,-2.4002936,-1.7209207
356,-1.9547106,-2.6461718,-1.7805455
357,-1.8925153,-2.8235686,-1.932209
358,-1.9715952,-2.5680451,-1.7421614
359,-1.9200995,-2.4278088,-1.7589031
360,-1.8106909,-2.350534,-1.611337
361,-1.9999421,-3.0322857,-1.942799
362,-1.9133729,-2.6556454,-1.7908186
363,-1.8669617,-2.831071,-1.8825493
364,-1.822779,-2.473634,-1.6413146
365,-1.9247944,-2.8064582,-2.0012097
366,-1.6950423,-2.3752728,-1.5535544
367,-2.0501025,-2.7995703,-1.9365393
368,-2.0204506,-2.7068326,-1.8618559
369,-1.8353221,-2.4085414,-1.6057066
370,-1.8748157,-2.4365168,-1.7749599
371,-1.8127031,-2.480151,-1.7077162
372,-2.0437975,-2.5963001,-1.7895044
373,-2.0005164,-2.6484377,-1.8535222
374,-1.8159373,-2.7635174,-1.8178895
375,-2.1277895,-2.9292383,-1.9773753
376,-1.6935351,-2.503629,-1.689333
377,-1.8873926,-2.5986962,-1.8288332
378,-1.9950851,-2.750082,-1.8844028
379,-1.9312716,-2.655535,-1.8206683
380,-1.7327031,-2.6356485,-1.780991
381,-2.0368106,-2.9806993,-1.9104733
382,-2.0032332,-2.6139474,-1.7087655
383,-1.9641669,-2.7363274,-1.8804677
384,-2.17875,-2.8868923,-1.8201075
385,-2.0201457,-2.8552296,-1.8773364
386,-2.0166411,-2.7625878,-1.9051232
387,-2.2054725,-2.8981428,-1.9362497
388,-1.6345621,-2.3951433,-1.6718218
389,-1.948179,-2.529264,-1.7903664
390,-2.1151338,-2.802024,-1.9571631
391,-2.172721,-3.1862063,-1.9862375
392,-1.8387041,-2.5205734,-1.7806871
393,-2.0104892,-2.9488933,-1.8992704
394,-1.9086728,-2.8022249,-1.8973356
395,-1.9285923,-2.726085,-1.8391744
396,-2.029219,-2.6867304,-1.8734007
397,-1.9426221,-2.8275647,-1.8973682
398,-1.8742844,-2.5506175,-1.8202413
399,-1.9206848,-2.356719,-1.6955081
400,-2.071067,-2.9014192,-1.9006398
401,-2.1257496,-2.8536685,-1.9149592
402,-1.9408388,-2.73329,-1.8587295
403,-1.9648081,-2.812656,-1.8633732
404,-2.056346,-2.9144795,-1.9077895
405,-1.892441,-2.6064315,-1.8076303
406,-1.97831,-2.7075918,-1.8043009
407,-2.0402503,-2.723751,-1.877735
