,hospital_only,hglm,nn
0,0.059370648,-0.12404126,-0.026613219
1,0.07257382,0.106638305,0.15009569
2,0.08668926,0.26784524,0.14639448
3,-0.24042521,-0.2794967,-0.09372166
4,-0.12035372,-0.23792093,-0.090520576
5,0.09064634,0.035029896,0.055765036
6,-0.11634149,-0.29474086,-0.07729488
7,-0.17596717,-0.11231408,-0.007479121
8,0.15370144,-0.08741948,0.019803083
9,0.44523466,0.3922542,0.20766057
10,-0.47955483,-0.23048279,-0.0053174105
11,-0.06186651,-0.031692144,-0.03281456
12,0.13834965,-0.047572114,0.048133608
13,0.1249299,-0.06455523,-0.029409105
14,-0.07227462,-0.20443408,-0.058303785
15,0.1010085,0.18915595,0.15972513
16,-0.15890472,-0.22597872,-0.03664073
17,0.30511448,0.16060688,0.18918541
18,-0.0014297442,0.015554331,-0.019725937
19,-0.089545414,-0.08451506,-0.021833764
20,-0.00071289355,-0.079092585,-0.0700891
21,-0.076181725,-0.12690765,-0.021503765
22,-0.07000569,-0.1607562,-0.106160514
23,0.10278909,-0.06333798,-0.03244203
24,-0.10151981,-0.15604453,-0.070813425
25,0.07998079,0.082524076,0.069066435
26,-0.11840729,-0.38271716,-0.2920505
27,-0.06129792,0.018587112,-0.00076761155
28,0.07318654,-0.038924757,-0.008063244
29,0.474701,0.57393664,0.38201028
30,0.2080213,0.09862356,0.09674759
31,-0.09866901,-0.061695978,0.020458547
32,-0.23878762,-0.18495212,-0.039306484
33,-0.08556225,-0.10588616,-0.018158289
34,-0.22774051,-0.444162,-0.12277632
35,0.24723706,0.4071014,0.36918873
36,0.16037627,-0.010318634,0.013497553
37,-0.17966665,-0.23740402,-0.20425011
38,0.02186483,0.001258361,0.011742975
39,-0.13181049,-0.29102656,-0.16476132
40,-0.14209981,-0.114961654,-0.08151291
41,0.08908817,0.28656575,0.18276007
42,-0.027228529,-0.09391593,-0.04027876
43,0.06741679,0.10387459,0.08482504
44,-0.054630455,-0.08375836,-0.0082039805
45,0.095855825,0.0769919,0.06451064
46,0.17134316,0.08673587,0.04572848
47,0.10304285,0.06389454,0.04471117
48,0.045108188,-0.07258279,0.019756097
49,-0.19720751,-0.46503586,-0.19889367
50,-0.13568833,-0.023580803,0.012146371
51,-0.014249128,0.15366526,0.09586572
52,-0.22267292,-0.20757727,-0.0746405
53,-0.07186051,-0.20478626,-0.039896052
54,0.057341557,-0.056951113,0.01450269
55,0.103088506,0.06592445,0.06782274
56,-0.098844275,-0.25155157,-0.07828216
57,0.055593748,-0.13056228,-0.014448068
58,0.28289688,0.03734974,0.01675105
59,0.053743582,0.027184116,0.019582435
60,-0.15517797,-0.28660703,-0.19471577
61,0.006216885,-0.2239591,-0.10717526
62,-0.045231424,-0.0762739,-0.006905012
63,-0.1197113,-0.26403284,-0.19807644
