,,precision,recall,f1,bce,roc-auc,pr-auc
hospital_only,cr,0.19653965785381025,0.53542426738849,0.2875335756043609,0.46918651669629874,0.5509233932489013,0.20410452002817583
hospital_only,cv,0.13954062054599276,0.5246830877048335,0.2204516422369931,0.3811829993667694,0.537676309180462,0.14434595897403446
hospital_only,me,0.171216925716068,0.5316192136354833,0.25901402137414187,0.42971651996031085,0.5456197744815665,0.1777238036481266
hospital_only,ne,0.12784173558871204,0.5270733379026731,0.20577315449710673,0.35922502498961617,0.53874381411789,0.13130982944596054
hospital_only,su,0.08077873650435763,0.5513465522343889,0.14091218515997275,0.261963910769456,0.5736990177035816,0.08428748508937203
hospital_only,tot,0.1492876353390302,0.539123188741262,0.23382673016841884,0.384493645754126,0.5573777908465198,0.15526896117973904
hglm,cr,0.24974736538183917,0.6108038131105096,0.35453241341621694,0.4410256854045785,0.6585847287286088,0.27058399963901336
hglm,cv,0.1997517394570934,0.6302174585179842,0.30335350729239013,0.36214259936213766,0.6732423274021757,0.22185934903283278
hglm,me,0.22865428819837308,0.6197462715475499,0.33405834297596154,0.40849678868702627,0.66412134009604,0.25005274610734146
hglm,ne,0.16539404223227752,0.6012679917751885,0.25942629010794027,0.34574522844031413,0.6431113474283134,0.19253125319297854
hglm,su,0.1340613820372811,0.684817993489198,0.22422752213568475,0.21944158176723258,0.7493455889786906,0.17190097579873254
hglm,tot,0.21532047074485297,0.6469422711911486,0.32310317401598104,0.3579071281272793,0.7012235598240569,0.24067729096286905
lasso,cr,0.24927884615384616,0.6102153701306343,0.3539611564323992,0.4410916556798871,0.6582991158408853,0.2702216982186765
lasso,cv,0.19947772156030683,0.6298052148819953,0.30298973672467644,0.36222102989628835,0.6727502003614704,0.22184295297397874
lasso,me,0.22869258118884409,0.6197946930079411,0.3341062440454698,0.4085219620995706,0.6641397457227095,0.2500508148994721
lasso,ne,0.16467600865230886,0.6000685400959561,0.2584311120950483,0.3457462660753607,0.643255437665713,0.1924854684788856
lasso,su,0.1341806272100168,0.6850399526487126,0.22440620455647114,0.2195007527751481,0.7490858832539926,0.17186160552148722
lasso,tot,0.21529288509536867,0.6469052358687097,0.3230674974279538,0.35794882970408975,0.7011748265333413,0.24066235813562276
black_box,cr,0.26845319705845694,0.6336942450276568,0.3771384545343116,0.4312114399538276,0.6873992721202836,0.3029916071740716
black_box,cv,0.21320965503233014,0.6490776048644749,0.32098262066153604,0.3545437376637006,0.7000552215570294,0.2471090346330735
black_box,me,0.24782249703561607,0.6443120924527084,0.3579617548815208,0.3965997214990002,0.6988381491738895,0.29008489187878733
black_box,ne,0.18197599444499554,0.6286840301576422,0.2822524809600738,0.3389012338393551,0.6768242728415065,0.22190945356925562
black_box,su,0.14319603517572754,0.7011689849067771,0.23782278099826848,0.21552976131949156,0.7684423207105207,0.19732336771563602
black_box,tot,0.22980245035694427,0.6658302856349243,0.3416789606094945,0.34891170520276943,0.7277217818795529,0.27571145531594693
nn,cr,0.268239808631516,0.6334588678357067,0.37688618142351993,0.4304234284951882,0.6884486050628903,0.30535942928934534
nn,cv,0.2129761179893106,0.6488714830464805,0.32069272889341655,0.353713862405357,0.7013416994362462,0.2512932395917922
nn,me,0.24938646867564437,0.6462328103815611,0.3598888998750573,0.3953379514017746,0.7017211179994771,0.29410386373389863
nn,ne,0.18304393253395693,0.6303975325565456,0.2837092731829574,0.3375059145587769,0.6791939667129705,0.22599210558996186
nn,su,0.14382046308643473,0.7022047943178455,0.23874327111737187,0.21395812598885647,0.7711036806395999,0.20062036748408082
nn,tot,0.23044793317009937,0.6666358038979677,0.3424983350775378,0.3476609174036544,0.730055150811961,0.2793970934732254
